id_namespace	id	project_id_namespace	project	persistent_id	creation_time	assay_type	anatomy
https://motrpac-data.org	90140015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90133015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90129015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90126015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90050015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90047015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90020015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90018015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90138015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90141015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90012015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90009015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90109015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90053015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90052015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90135015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90139015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90017015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90015015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90011015503	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001388
https://motrpac-data.org	90141017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90020017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90140017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90023017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90139017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90025017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90138017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90017017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90142017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90027017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90143017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90026017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90136017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90018017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90135017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90015017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90134017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90133017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90013017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90014017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90129017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90012017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90128017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90011017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90127017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90010017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90126017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90009017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
https://motrpac-data.org	90124017002	https://motrpac-data.org	MoTrPAC			OBI:0002020	UBERON:0001347
