file_id_namespace	file_id	subject_id_namespace	subject_id
https://gtexportal.org	GTEX-X3Y1-0226-SM-3P5Z5	https://gtexportal.org	GTEX-X3Y1
https://gtexportal.org	GTEX-1B996-2026-SM-7MKG7	https://gtexportal.org	GTEX-1B996
https://gtexportal.org	GTEX-13X6J-0126-SM-5QGOU	https://gtexportal.org	GTEX-13X6J
https://gtexportal.org	GTEX-146FR-0326-SM-5SI8U	https://gtexportal.org	GTEX-146FR
https://gtexportal.org	GTEX-12KS4-0005-SM-5SI94	https://gtexportal.org	GTEX-12KS4
https://gtexportal.org	GTEX-13NYB-2526-SM-5K7Z6	https://gtexportal.org	GTEX-13NYB
https://gtexportal.org	GTEX-15ER7-2326-SM-7KUN3	https://gtexportal.org	GTEX-15ER7
https://gtexportal.org	GTEX-XBED-0006-SM-47JXO	https://gtexportal.org	GTEX-XBED
https://gtexportal.org	GTEX-1B932-0003-SM-7J39T	https://gtexportal.org	GTEX-1B932
https://gtexportal.org	GTEX-XBEC-1326-SM-4AT69	https://gtexportal.org	GTEX-XBEC
https://gtexportal.org	GTEX-13O3Q-0011-R4a-SM-5P9H2	https://gtexportal.org	GTEX-13O3Q
https://gtexportal.org	GTEX-ZV6S-0926-SM-57WGB	https://gtexportal.org	GTEX-ZV6S
https://gtexportal.org	GTEX-QCQG-1726-SM-3GIJ9	https://gtexportal.org	GTEX-QCQG
https://gtexportal.org	GTEX-13X6I-0011-R7b-SM-5PNWP	https://gtexportal.org	GTEX-13X6I
https://gtexportal.org	GTEX-P4QR-0006-SM-2I5GN	https://gtexportal.org	GTEX-P4QR
https://gtexportal.org	GTEX-13PVR-0826-SM-5S2PV	https://gtexportal.org	GTEX-13PVR
https://gtexportal.org	GTEX-QESD-0726-SM-4R1KQ	https://gtexportal.org	GTEX-QESD
https://gtexportal.org	GTEX-OOBK-3025-SM-48TBP	https://gtexportal.org	GTEX-OOBK
https://gtexportal.org	GTEX-PWO3-0011-R6A-SM-2I5F3	https://gtexportal.org	GTEX-PWO3
https://gtexportal.org	GTEX-12WSC-0011-R6b-SM-5LU99	https://gtexportal.org	GTEX-12WSC
https://gtexportal.org	GTEX-YEC3-0326-SM-5IFJJ	https://gtexportal.org	GTEX-YEC3
https://gtexportal.org	GTEX-QDVN-0426-SM-48TZ6	https://gtexportal.org	GTEX-QDVN
https://gtexportal.org	GTEX-WZTO-0626-SM-4PQYY	https://gtexportal.org	GTEX-WZTO
https://gtexportal.org	GTEX-14C5O-0002-SM-7DRQF	https://gtexportal.org	GTEX-14C5O
https://gtexportal.org	GTEX-ZTPG-1326-SM-51MSQ	https://gtexportal.org	GTEX-ZTPG
https://gtexportal.org	GTEX-U3ZH-0003-SM-5URBK	https://gtexportal.org	GTEX-U3ZH
https://gtexportal.org	GTEX-12696-1426-SM-5EGJ6	https://gtexportal.org	GTEX-12696
https://gtexportal.org	GTEX-13FTZ-0126-SM-5K7V3	https://gtexportal.org	GTEX-13FTZ
https://gtexportal.org	GTEX-UPK5-0003-SM-3NMDI	https://gtexportal.org	GTEX-UPK5
https://gtexportal.org	GTEX-ZUA1-2726-SM-59HLJ	https://gtexportal.org	GTEX-ZUA1
https://gtexportal.org	GTEX-13FH7-1226-SM-5IJFK	https://gtexportal.org	GTEX-13FH7
https://gtexportal.org	GTEX-P78B-1626-SM-2S1O1	https://gtexportal.org	GTEX-P78B
https://gtexportal.org	GTEX-ZTPG-2326-SM-57WFL	https://gtexportal.org	GTEX-ZTPG
https://gtexportal.org	GTEX-13FTY-0011-R9b-SM-5KM2U	https://gtexportal.org	GTEX-13FTY
https://gtexportal.org	GTEX-11UD1-0011-R2b-SM-5BC6O	https://gtexportal.org	GTEX-11UD1
https://gtexportal.org	GTEX-XUYS-0002-SM-47JXL	https://gtexportal.org	GTEX-XUYS
https://gtexportal.org	GTEX-ZUA1-0726-SM-4YCD9	https://gtexportal.org	GTEX-ZUA1
https://gtexportal.org	GTEX-11WQC-2726-SM-5CVLG	https://gtexportal.org	GTEX-11WQC
https://gtexportal.org	GTEX-QEG5-0726-SM-4R1JQ	https://gtexportal.org	GTEX-QEG5
https://gtexportal.org	GTEX-1C6VQ-1426-SM-73KTW	https://gtexportal.org	GTEX-1C6VQ
https://gtexportal.org	GTEX-POMQ-0826-SM-3P61H	https://gtexportal.org	GTEX-POMQ
https://gtexportal.org	GTEX-139TS-1926-SM-5IJFO	https://gtexportal.org	GTEX-139TS
https://gtexportal.org	GTEX-117YX-2326-SM-5H12W	https://gtexportal.org	GTEX-117YX
