id_namespace	id	project_id_namespace	project	persistent_id	creation_time	size_in_bytes	sha256	md5	filename	file_format	data_type
https://gtexportal.org	GTEX-12WSH-3126-SM-5LZW8	https://gtexportal.org	0		2014-06-04T00:00:00Z	2354037243				format:2572	data:3495
https://gtexportal.org	GTEX-13S7M-0011-R1b-SM-5PNZE	https://gtexportal.org	0		2014-06-27T00:00:00Z	4283783952				format:2572	data:3495
https://gtexportal.org	GTEX-14PK6-1226-SM-6EU1W	https://gtexportal.org	0		2018-11-29T00:00:00Z	3305481846				format:3462	data:3495
https://gtexportal.org	GTEX-16BQI-0003-SM-6UH2O	https://gtexportal.org	0		2017-06-30T00:00:00Z	39493779107				format:3698	data:3494
https://gtexportal.org	GTEX-RVPU-0011-R8A-SM-2TF74	https://gtexportal.org	0		2018-11-29T00:00:00Z	4624615905				format:3462	data:3495
https://gtexportal.org	GTEX-113JC-0001-SM-58Q7M	https://gtexportal.org	0		2015-10-06T00:00:00Z	5255028896				format:2572	data:3494
https://gtexportal.org	GTEX-14A6H-2626-SM-5NQBO	https://gtexportal.org	0		2018-11-29T00:00:00Z	3005157948				format:3462	data:3495
https://gtexportal.org	GTEX-1B933-1926-SM-73KUN	https://gtexportal.org	0		2018-11-29T00:00:00Z	3898718896				format:3462	data:3495
https://gtexportal.org	GTEX-OIZH-0626-SM-3NB1L	https://gtexportal.org	0		2013-04-05T00:00:00Z	5592370424				format:2572	data:3495
https://gtexportal.org	GTEX-T8EM-0626-SM-4DM62	https://gtexportal.org	0		2014-01-06T00:00:00Z	2519547294				format:2572	data:3495
https://gtexportal.org	GTEX-XMD1-0011-R3B-SM-4AT5R	https://gtexportal.org	0		2018-11-29T00:00:00Z	2548657071				format:3462	data:3495
https://gtexportal.org	GTEX-XUJ4-0001-SM-53IUY	https://gtexportal.org	0		2015-10-06T00:00:00Z	3078286576				format:2572	data:3494
https://gtexportal.org	GTEX-15F5U-1426-SM-7KUN2	https://gtexportal.org	0		2018-11-29T00:00:00Z	2198646368				format:3462	data:3495
https://gtexportal.org	GTEX-12126-0001-SM-6WBU6	https://gtexportal.org	0		2018-11-30T00:00:00Z	48669118569				format:3462	data:3494
https://gtexportal.org	GTEX-13OW8-1526-SM-5K7V2	https://gtexportal.org	0		2018-11-29T00:00:00Z	4044706327				format:3462	data:3495
https://gtexportal.org	GTEX-YEC3-0626-SM-4YCFE	https://gtexportal.org	0		2018-11-29T00:00:00Z	3986826476				format:3462	data:3495
https://gtexportal.org	GTEX-13NYC-2826-SM-5K7WR	https://gtexportal.org	0		2018-11-29T00:00:00Z	3849039384				format:3462	data:3495
https://gtexportal.org	GTEX-13X6J-0426-SM-5O9D3	https://gtexportal.org	0		2018-11-29T00:00:00Z	4586083017				format:3462	data:3495
https://gtexportal.org	GTEX-ZAB5-1126-SM-5Q5AD	https://gtexportal.org	0		2014-06-23T00:00:00Z	2762122735				format:2572	data:3495
https://gtexportal.org	GTEX-ZGAY-0926-SM-4WWBQ	https://gtexportal.org	0		2018-11-29T00:00:00Z	2267893501				format:3462	data:3495
https://gtexportal.org	GTEX-17EVQ-0011-R6a-SM-7189U	https://gtexportal.org	0		2018-11-29T00:00:00Z	6779212836				format:3462	data:3495
https://gtexportal.org	GTEX-XGQ4-0626-SM-4AT56	https://gtexportal.org	0		2018-11-29T00:00:00Z	2361310600				format:3462	data:3495
https://gtexportal.org	GTEX-ZP4G-0002-SM-6WBSI	https://gtexportal.org	0		2018-11-30T00:00:00Z	45656579398				format:3462	data:3494
https://gtexportal.org	GTEX-ZF28-3026-SM-4WKHP	https://gtexportal.org	0		2014-06-17T00:00:00Z	3236241621				format:2572	data:3495
https://gtexportal.org	GTEX-Y8DK-0011-R1A-SM-4RGLO	https://gtexportal.org	0		2018-11-29T00:00:00Z	4112187143				format:3462	data:3495
https://gtexportal.org	GTEX-1A8G7-1326-SM-73KVM	https://gtexportal.org	0		2018-11-29T00:00:00Z	4175570132				format:3462	data:3495
https://gtexportal.org	GTEX-1117F-3226-SM-5N9CT	https://gtexportal.org	0		2014-06-23T00:00:00Z	3203671158				format:2572	data:3495
https://gtexportal.org	GTEX-OOBK-1026-SM-48TC2	https://gtexportal.org	0		2014-01-05T00:00:00Z	2186618564				format:2572	data:3495
https://gtexportal.org	GTEX-12C56-0426-SM-5FQU1	https://gtexportal.org	0		2018-11-29T00:00:00Z	3844459525				format:3462	data:3495
https://gtexportal.org	GTEX-13OVI-2126-SM-5KM3U	https://gtexportal.org	0		2014-06-12T00:00:00Z	3283510100				format:2572	data:3495
https://gtexportal.org	GTEX-X8HC-0126-SM-4E3JW	https://gtexportal.org	0		2014-01-05T00:00:00Z	3418372024				format:2572	data:3495
https://gtexportal.org	GTEX-117YX-0626-SM-5EGJI	https://gtexportal.org	0		2018-11-29T00:00:00Z	4061768966				format:3462	data:3495
https://gtexportal.org	GTEX-131XG-1726-SM-5LZUR	https://gtexportal.org	0		2018-11-29T00:00:00Z	3444040094				format:3462	data:3495
https://gtexportal.org	GTEX-XMK1-0008-SM-4GICF	https://gtexportal.org	0		2018-11-29T00:00:00Z	4171241322				format:3462	data:3495
https://gtexportal.org	GTEX-U3ZM-0926-SM-4DXSW	https://gtexportal.org	0		2018-11-29T00:00:00Z	3067096783				format:3462	data:3495
https://gtexportal.org	GTEX-146FQ-1926-SM-5NQBY	https://gtexportal.org	0		2014-06-27T00:00:00Z	3797537548				format:2572	data:3495
https://gtexportal.org	GTEX-11ZVC-2826-SM-5FQTC	https://gtexportal.org	0		2018-11-29T00:00:00Z	3392371637				format:3462	data:3495
https://gtexportal.org	GTEX-11NUK-2726-SM-5A5MC	https://gtexportal.org	0		2018-11-29T00:00:00Z	3018069053				format:3462	data:3495
https://gtexportal.org	GTEX-146FR-1926-SM-5NQA6	https://gtexportal.org	0		2018-11-29T00:00:00Z	3844738036				format:3462	data:3495
https://gtexportal.org	GTEX-12WS9-0001-SM-7DRQ3	https://gtexportal.org	0		2017-06-28T00:00:00Z	26534548204				format:3698	data:3494
https://gtexportal.org	GTEX-11TT1-0726-SM-5GU5A	https://gtexportal.org	0		2014-06-13T00:00:00Z	2026092368				format:2572	data:3495
https://gtexportal.org	GTEX-13G51-2326-SM-5LZXV	https://gtexportal.org	0		2014-06-21T00:00:00Z	2265986034				format:2572	data:3495
https://gtexportal.org	GTEX-QV44-0003-SM-5SOEM	https://gtexportal.org	0		2018-11-30T00:00:00Z	56544138101				format:3462	data:3494
https://gtexportal.org	GTEX-146FR-0004-SM-6WSBD	https://gtexportal.org	0		2017-06-28T00:00:00Z	38448349120				format:3698	data:3494
https://gtexportal.org	GTEX-1128S-2426-SM-5H11B	https://gtexportal.org	0		2018-11-29T00:00:00Z	4483300267				format:3462	data:3495
https://gtexportal.org	GTEX-139TS-0011-R6a-SM-5J2OB	https://gtexportal.org	0		2018-11-29T00:00:00Z	5593047935				format:3462	data:3495
